FITS_File_Path,FITS_Format_Name,FITS_Format_Version,FITS_PUID,FITS_Identifying_Tool(s),FITS_Multiple_IDs,FITS_Date_Last_Modified,FITS_Size_KB,FITS_MD5,FITS_Creating_Application,FITS_Valid,FITS_Well-Formed,FITS_Status_Message,NARA_Format Name,NARA_File Extension(s),NARA_PRONOM URL,NARA_Risk Level,NARA_Proposed Preservation Plan,NARA_Match_Type,Technical_Appraisal,Other_Risk
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Original Memo.doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-04-04,38.912,1480880633eb82b0a27dc09450c0c9f6,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Police Interviews .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-06-04,30.208,920d6cd3445d7df66c9ed9a1b75fbd27,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\N.J. = Records Search  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-06-04,25.088,c5a08833c4d993001a069e58cced4be4,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = TOUGH JUSTICE\Re-Run = Sheriff, Sept. 2000\Phoenix = Re-Run Update  .doc",Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2276-07-04,31.232,7e7134e8a1e5dad8d0c98a66aec00da9,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1998\AIR = Sch Bus and Seat Belts\Various Memos = All\Photos = Phoenix Mother  .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2268-01-27,20.992,db488873509c7841f99c552e15feb6b4,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
"2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = TOUGH JUSTICE\Phoenix = TAPES\Tapes = Other\Pnx #27 = Fed Court, KTVK  .doc",Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2265-05-24,30.208,cf074feed1b1cf9d73dcbee428debe05,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = Trail of Blood\Interviews = Planning\Reply = Dr. Henderson  .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2266-03-17,20.48,8be2dc066bd00c21147dd51f9cafaae2,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\Other stories\N.J. = Mitch\Req = NJ State Police  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2280-06-01,24.576,2d57837754bf94c259d90723714d0227,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1995-'97\Mag = LAW and DISORDER\RUNDOWN = APRIL 9  .DOC,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2004-02-09,22.016,8f23310a64095731b540f0be5d7df6ee,Microsoft Word 9.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
2024-30-er\hd-001\Documents\MASTER Files\AIR = 1998-'99\AIR = 1999\AIR = TOUGH JUSTICE\Phoenix = Scripts\Sheriff = Fonts for Re-Run  .doc,Microsoft Word Binary File Format,97-2003,https://www.nationalarchives.gov.uk/pronom/fmt/40,Droid version 6.4; Exiftool version 11.54; NLNZ Metadata Extractor version 3.6GA; ffident version 0.2; Tika version 1.21,False,2276-07-04,19.968,ed2c55f8c7813a1dd135c588f980a3e0,Microsoft Word 8.0,,,,Microsoft Word for Windows 97-2003,doc|dot,https://www.nationalarchives.gov.uk/pronom/fmt/40,Moderate Risk,Retain,PRONOM and Version,Not for TA,Not for Other
